RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30
102001,0,United States,country,,1142.1500880684373,1148.4618724133472,1157.0421513073916,1165.8126704375525,1174.4444561912433,1181.9812735843568,1187.5809147224018,1191.098980544562,1192.9346600764102,1193.2659259720756,1193.6227674993054,1194.069250303479,1197.0157285491948,1201.708301044351,1207.5779544812362,1215.420560548392,1223.4951528209458,1231.5370307794226,1235.9072874645403,1237.8988111754948,1237.656777133758,1236.3097768733564,1235.0658309223716,1234.4081280622415,1238.865749276186,1246.4728043771784,1257.7207281266062,1267.269824427574,1276.3174943996244,1283.272096983571,1287.8741883352404,1289.3006186464152,1289.4938961727403,1287.8958583841975,1287.7545153909725,1288.5634061640756,1293.2719706595676,1300.5145694264302,1309.8093348810314,1319.0952862368083,1327.0022919290388,1334.2738436450518,1339.3496310806504,1342.2788336596134,1341.4155540690642,1340.7565630452543,1341.3928542754475,1343.5092043243249,1347.4011569524412,1353.2380714731164,1363.2010896756135,1373.1988539518507,1382.8531623215658,1390.561020573697,1395.9971234108389,1398.6500311200248,1398.1328211586551,1396.5393965155936,1395.4352006601814,1396.6086242930471,1401.5203216888838,1409.3993100178063,1417.7606328373713,1419.2319746498556,1419.2170297510277,1420.2466766916743,1425.4896706533234,1426.9069682788906,1424.3591052899217,1421.3912613365208,1419.8316196831058,1421.8592787448406,1430.034512708558,1442.2102863363623,1457.4882041126589,1475.5638347745992,1499.6343903378495,1528.0640205959453,1557.7171272551243,1585.296845080541,1607.5978976020062,1621.5330602739728,1630.773479013222,1639.7955451007472,1650.2135737885228,1664.6550972366326,1679.7156821509122,1699.3251391870563,1719.3870070319285,1740.1105693739523,1757.2775080499696,1766.9183786856372,1768.8879243301544,1764.252581683564,1758.3229814526796,1755.5934462451487,1757.5224446080808,1764.1176892371486,1776.6015120497898,1787.2293766441835,1798.939969918053,1805.725643690411,1814.1339039900477,1818.4842940955182,1818.7273241752555,1815.2259940752713,1810.038987981933,1807.5691164007094,1810.4923757273202,1818.089806306608,1828.4583652615052,1838.9333852725865,1849.8337026665754,1859.4927209243497,1866.9600561778436,1870.2112357042936,1869.9697315283286,1866.2336112946098,1862.7289450841286,1860.312562549014,1864.2958499826855,1872.2349978986542,1883.6594826796154,1893.2510555706256,1901.559472991547,1908.047473878009,1912.2108766902722,1914.0572822435063,1913.2107906015042,1909.807377707947,1904.1861436834413,1899.6657242352603,1900.898728087625,1907.9046054057683,1918.7245860624162,1929.6422102592069
394913,1,"New York, NY",msa,NY,2208.0538969364584,2222.875782772372,2241.9570269618257,2260.867202439928,2275.4902256990913,2290.6444709936695,2300.916719682536,2310.8359482991937,2315.036038996861,2313.402171742577,2304.232769322174,2294.8167631081465,2291.950120237105,2296.28725875115,2305.099974036972,2317.6980488909294,2332.3835586400046,2347.2018837642986,2359.778453774365,2363.8296102342547,2364.452270061164,2356.9372163881912,2352.650678161077,2340.97644431543,2337.9516670531248,2338.5956454970938,2350.6684213127355,2365.0916471883097,2382.627341345797,2396.8399201542843,2407.056684103558,2409.3678596692052,2407.765799562634,2394.5553247923517,2379.7516749281303,2366.5502993581113,2365.3746383586436,2372.1203465471485,2385.5183314939686,2404.5386113012546,2422.695724556667,2439.7364845161,2451.915871276247,2460.6598220616465,2460.896923470584,2452.364983005978,2441.826239435739,2431.9398808458486,2431.256016946914,2440.521057112764,2456.356498105554,2474.3517834647582,2494.2929801809437,2515.525478056614,2530.591038450214,2537.851976065267,2536.12940420058,2531.4144429952503,2518.8601745492174,2512.1245004008315,2511.8586973260135,2524.9492016216354,2533.684174423048,2527.6437096397544,2512.669281003455,2491.048831171216,2467.3688727518374,2422.3819653922596,2371.823952271752,2331.1147157723144,2300.323302641791,2287.4433144873756,2286.9451886672136,2301.21103823281,2322.2587240984844,2348.544918670706,2391.317120502009,2444.243482634784,2505.6409742365436,2564.2185130871912,2612.230492172805,2645.0526587397408,2666.86293620122,2686.7647841176195,2711.3889749042405,2743.0900238084923,2780.3780344817674,2819.7986040667984,2869.1975618527117,2921.373973474974,2967.98881295549,2995.0382486126373,2999.3268898589104,2985.739537251811,2960.770936952575,2942.331543779452,2940.5032317396713,2953.7978482515364,2979.676864925961,3010.8975297256825,3045.589587878382,3074.40901307674,3095.5795705781657,3105.7003274556023,3104.908465649872,3091.299187467073,3072.08070634115,3060.220405084703,3065.440927026315,3083.5637174298718,3111.1523164982536,3138.2648266503443,3168.1240686193555,3195.6173935776883,3212.852260029266,3219.1207307871705,3210.0572989079074,3197.141410143875,3188.026772303498,3183.9065472613593,3194.095563642051,3211.0713549680704,3239.402592977848,3267.4652237940145,3295.0040678276446,3326.462804294162,3357.470159431148,3378.6720872811698,3376.806363486367,3364.2351435882565,3343.2910807304256,3331.242879843915,3328.5705398569007,3345.9393433315217,3375.212381201241,3406.042087660844
753899,2,"Los Angeles, CA",msa,CA,1730.5179386304178,1742.0941093048966,1757.1875668430366,1771.8837015212582,1786.5347077127692,1797.6341795055096,1810.3577122616132,1820.5974344961746,1830.694458683822,1835.2613635135183,1839.7325209270887,1845.646159060978,1855.704543425648,1865.9045931338,1876.1828899523198,1886.0382109584941,1899.5696196610588,1912.0455143257975,1924.3811572999398,1930.3368136207976,1935.6888830403568,1936.4981394194697,1938.8572300205983,1941.4846462832468,1955.2512730291485,1971.598133978293,1993.541782123968,2006.6897041542736,2019.9711012342789,2028.5753191441406,2038.5505306688926,2043.7022475939054,2048.609441769595,2048.8505865767575,2052.967808198588,2057.2540168866103,2068.504169412791,2080.7935156118083,2091.1217055326915,2099.463554013099,2106.7899682567368,2118.3511435740475,2128.657750127882,2137.461049912913,2141.28508060373,2144.9102330507662,2150.5581049744846,2156.1278970675,2161.389726032076,2164.9951704625714,2176.2731071382877,2186.740893762653,2199.3764465623804,2208.50560190091,2216.905213125674,2222.026103705651,2224.8476067181487,2226.300136380244,2229.521952606593,2233.375611754986,2240.928492617093,2245.601428243846,2245.6414323146755,2234.4772520315796,2225.5432263148455,2221.2302903493737,2223.4917487953257,2222.72083775487,2221.3371531041835,2221.4903146425568,2222.8523219828094,2223.0355224566824,2233.255193673056,2244.563678273947,2259.422428151037,2270.3857220824816,2289.1741501110077,2322.169005762492,2365.481950040617,2415.379422390009,2453.3708102158207,2478.036766553939,2492.240239858939,2509.3476378797704,2528.047196131335,2552.6486818313842,2576.8110339488603,2606.557528594953,2630.460829315427,2653.765945942288,2672.1216518238216,2686.472282259453,2691.704007555473,2687.044204064137,2681.4571149397925,2674.0694919907933,2673.1548885271823,2677.3638633246974,2691.777467480556,2702.1949610752913,2712.18812153818,2719.2865198378695,2732.194246310499,2742.090566973192,2744.904293629584,2741.805352201076,2732.581500642014,2727.4046062817806,2731.1877140662027,2740.9379241693455,2753.307723550288,2761.984931416349,2772.776636142329,2784.4292244664875,2796.470116732089,2803.3096029201256,2807.5195314787484,2804.4464355660157,2800.064119757834,2793.871697475889,2812.4193359631395,2833.57533480235,2855.8949245460963,2857.3376094894265,2862.4716974573366,2868.991217897477,2873.4467177621277,2875.68245724546,2875.5994810522566,2872.911250359797,2866.4774386966496,2857.554221147063,2859.881444373601,2866.4738365619382,2880.2449727874578,2891.567893320407
394463,3,"Chicago, IL",msa,IL,1387.8252239867563,1395.1567078895337,1405.1698669344387,1414.8004165894874,1424.731439313969,1434.29742033654,1438.7623573629014,1441.3917301454794,1436.1985289221789,1429.0519733163226,1422.200193704384,1422.8304286283114,1431.0878577184294,1440.6518504151181,1452.20345933421,1459.8154504672543,1468.5914495149368,1475.8098316198648,1481.8991561863054,1485.0259747822527,1478.3118136213552,1468.7819280446365,1457.0413374815516,1451.6513744568636,1457.5416414603765,1471.4742253281472,1489.9708118895883,1503.5750523523984,1515.1233413307339,1521.1211162558104,1522.9012121950545,1518.2556526768274,1512.4956327902648,1501.5871433611956,1494.760172748996,1492.388832920107,1500.8108623677715,1512.6306603756534,1525.466320959476,1536.6664143343228,1546.8932192194595,1556.0691611073737,1560.439920452255,1557.744352602603,1546.8949860005544,1535.620765631132,1529.098246300211,1530.247168581453,1538.761962475447,1549.0623132820801,1564.875732465368,1578.6916164000338,1591.3184665997835,1598.244067787276,1600.763101725043,1599.8679804220765,1594.6440783407502,1587.8352791103396,1580.7590224839355,1575.8698886869888,1584.6067729541817,1596.49586918029,1611.8189649082808,1613.1899280732962,1612.796056742838,1610.5089629424192,1610.168099489738,1604.720459933384,1590.1810147893773,1569.7467517682364,1553.290790456399,1547.0451916198099,1550.5674515731803,1561.5479738618862,1578.1561810820724,1602.981603922614,1629.1468290877565,1653.9954070076092,1672.6946223382326,1685.3269789066678,1692.8556739076334,1692.3631071356513,1693.1709140135497,1698.8448618759546,1712.1297374138417,1727.981197221132,1747.723024771355,1771.9658774983502,1797.421213971982,1817.5041039910802,1833.1172886534907,1840.5007686327003,1841.9517346147566,1837.6141266942493,1832.491321919512,1832.9868713332378,1840.455960802249,1855.522097367698,1873.782667267794,1892.5579546912682,1913.452288817535,1930.8617879025715,1943.016001200776,1949.257367822284,1945.8076813842608,1938.4906809040874,1931.4941816587843,1934.103496758359,1943.6746963720761,1958.6523642378772,1973.7878331303095,1992.8992094985226,2009.815391964957,2026.3033568493179,2035.616914843294,2039.5982067515004,2038.566234831782,2036.876572105758,2035.8716597584923,2038.7048518967183,2047.4263754304275,2064.481293674067,2084.131673909467,2105.661026610695,2125.330881456626,2144.4991857913747,2156.474699505834,2161.3844439646095,2160.1844735341438,2154.570530228174,2149.502720902678,2147.292865949695,2158.5942393835016,2177.1091476216147,2200.0092832426153,2219.366926703536
394514,4,"Dallas, TX",msa,TX,1054.1900259600234,1058.9284476431292,1066.4344066745432,1077.447474064896,1086.695242032716,1094.8614640758572,1101.3863497595546,1104.5979760742523,1105.7895631696956,1105.1535965495257,1105.7698570879795,1107.4698962421435,1109.5300267782675,1115.5075058437305,1123.4537702249452,1133.908350081811,1142.114072233988,1149.1940616185677,1153.5202938781474,1156.3904193851833,1156.4023433914704,1157.3221113767297,1156.86605400581,1157.6213569626127,1162.6980746320332,1168.8317328996452,1180.9551880133183,1189.5067527330282,1201.514252762378,1207.7985080177434,1212.3928402008655,1213.5232138588515,1212.646140335252,1210.5675853124887,1212.3073836973651,1212.5984195806777,1216.8283680279071,1222.5318039293281,1229.6269412184374,1237.4667125242472,1242.508897882707,1250.382232020511,1253.8365874869492,1254.6406462436298,1251.5771253789103,1254.1481382587156,1255.56302907422,1258.6532176672383,1260.220081562132,1264.328134972802,1274.3767952626006,1283.2325140344383,1291.8758859445181,1298.4067606913598,1301.0209025477677,1302.5489922120792,1301.2503350156942,1301.1390867415037,1299.3798086381075,1296.6884327692992,1298.3811355334149,1304.3084986414108,1312.391976627579,1313.6926108701211,1313.4694301694756,1314.3034990091114,1318.2216921302706,1321.947699141026,1323.6376648823405,1325.7112484908632,1326.6108971626938,1330.2796078281901,1338.4944860224373,1350.0736957183935,1361.9537199052836,1379.0486388041322,1402.0532522961146,1433.3174160097462,1465.0536825143788,1495.090512668518,1516.9094056453796,1530.08528683005,1540.1496447285165,1549.3142845212958,1560.459726429945,1572.437079087851,1585.704055619442,1603.8477091158577,1625.1676498215802,1652.05808458736,1671.853571000402,1678.7135825165687,1672.8328905605533,1658.9913545598472,1648.9127053744435,1641.5638206311742,1641.000753726248,1643.4416856399807,1654.3809581333126,1658.8881211608825,1666.6128753064006,1668.3579235229977,1675.3976487105588,1675.3385781487693,1670.9333579464342,1662.3204911003575,1654.4473845457292,1645.927538062485,1642.4852336394792,1641.4201492200284,1645.236132482254,1650.45174166795,1657.0087835264371,1663.4258864976655,1667.1748279341937,1667.4454472920386,1661.746226397431,1655.1269495093202,1645.8852558008793,1638.868018536888,1636.4045663828217,1641.6828368206252,1652.5498061918615,1662.835222343248,1668.2677518058124,1670.2005175463128,1669.0499447681461,1666.3705881004184,1661.5131133739665,1655.0796520076367,1648.504060483662,1642.4927612143601,1640.1147024312497,1643.680846444794,1650.9840803161544,1660.1623766201476
394692,5,"Houston, TX",msa,TX,1193.0768781231031,1196.4273382327005,1202.6115030102183,1213.4629462010396,1222.829915333773,1231.2034402787838,1232.4852185380716,1233.5287178068131,1231.2167175160014,1228.1498672262003,1224.644089272167,1221.5706227550809,1222.049300859114,1223.6631313953103,1229.015298492226,1233.519526412442,1237.04606325695,1238.7541428920324,1237.9099034212975,1235.194974380833,1229.6395188257568,1225.7564954724394,1220.2596956366772,1218.2408942419456,1219.137693490778,1226.9418952453304,1235.1114743333167,1240.436581218159,1248.007290013031,1249.6120193733746,1249.8428098741044,1244.8134630432746,1251.7331542990244,1259.4924502793212,1269.8377803516507,1274.6863333849421,1277.7838928309106,1284.1334699070655,1286.3560569141518,1293.2686045879589,1295.2860865892926,1300.11357996829,1299.973244222272,1298.2976079760022,1294.8520263811668,1294.9640493525371,1297.4599030976726,1297.1138274710102,1297.5622873193781,1295.9300170300394,1302.6199450796757,1308.092725165302,1316.9655712459967,1322.6335214721921,1326.0251529429402,1325.3089278872621,1322.229193318459,1321.055008276054,1320.9456954728782,1324.0408220402583,1327.0447557616476,1332.549144720875,1338.0131580788475,1335.0650278253515,1329.6051917174768,1325.6345865951957,1330.0773508081882,1335.2717448244507,1335.289225229887,1336.8253032293094,1338.0204726441818,1338.7743097437055,1343.1200274308535,1345.6785988051008,1355.3144892314008,1367.436270870347,1388.2096338939093,1414.3897235583347,1439.1740703921848,1461.9512397778983,1474.295143028872,1480.9057032593562,1483.547512051991,1487.4898443654283,1493.0311415452736,1503.4107912657707,1513.6901372269908,1527.6584090257052,1539.1777418135127,1554.6326708496326,1565.737147209675,1572.2072148337888,1569.2415212504081,1563.0306709714343,1554.656505620831,1552.3836431572986,1554.5381826786465,1562.750740840225,1574.4136006136648,1581.0511378784452,1590.004089963536,1596.8466775184972,1603.5697996468984,1604.5994672245868,1599.596027412342,1593.832541533453,1588.1099250668417,1586.024382227367,1587.3456016269884,1591.7819897700006,1595.9789316331216,1603.7273680261976,1611.9289607877724,1620.6345143224119,1625.2091938747112,1628.250544368284,1628.5561167414482,1626.1172320113405,1620.6865626004471,1617.094955188792,1616.5103118041302,1620.534069387248,1628.4486502504703,1634.2183435534723,1637.365007430876,1632.77456822051,1634.8000854837717,1634.2898905294387,1635.5475650924002,1629.41509028127,1622.6341622365048,1617.8720177891066,1615.4077659456811,1613.6666492703082,1614.7631360247196,1619.2174033384424
395209,6,"Washington, DC",msa,VA,1677.6642063333863,1684.796150458261,1696.517930738741,1704.7220886188802,1713.0997976023257,1719.6667111591853,1723.796312698669,1721.3187974740276,1720.7191991053255,1715.9051791079228,1715.4486451800528,1710.7704403436996,1714.4932170925172,1718.5751625627113,1727.6839253907203,1734.5954538394483,1742.5444652628175,1748.5246913846224,1753.0027557434523,1754.5830939559996,1750.735330840611,1745.3375334111543,1739.3903070803508,1736.9713444348333,1742.1068645184966,1754.4275142737338,1767.74833712382,1778.9784178507969,1785.5070686983777,1792.9064056400034,1795.5568942508278,1795.1056326886398,1792.931760014938,1788.2724652270344,1783.6180375608635,1780.3949979063404,1783.9695973768744,1790.5911346244102,1802.6940625192094,1813.961364197685,1824.592022672024,1833.0776185262814,1838.3782276110232,1843.1363848348337,1837.7624085606053,1835.3652579260481,1834.668985275012,1840.176780223515,1845.0393802366164,1852.5756474546642,1863.3059420897941,1874.7037407335301,1884.9455023410262,1892.4307926610238,1897.3725747311128,1898.778954243265,1898.9031641016904,1893.3198384048687,1887.3658710690545,1887.486615661045,1895.2420537446783,1903.9497174843164,1914.5283877028955,1915.1335141119796,1914.3301771220717,1908.3538977263424,1907.2709755489027,1903.1772639165968,1890.5517628416785,1873.4773132697069,1853.9321415548932,1842.576502091544,1845.3707510302106,1854.0651439414698,1865.3973019068192,1879.7726627271593,1906.775878533211,1943.9555218260095,1980.580313673591,2011.0125659278165,2029.1621786561996,2038.649343619954,2039.33529998414,2038.7837248862859,2040.8913242017184,2051.9735600600857,2070.025018331093,2093.8197346193756,2118.8907893129835,2144.876815410342,2168.5894632213717,2179.7760269622763,2179.7300073500883,2163.6607491213404,2147.408675594663,2133.9095753795805,2135.3852121806585,2147.628968982514,2172.0334830218185,2187.769991632533,2205.541137253386,2216.9819357344045,2233.649392258196,2243.34059384377,2244.886646628858,2240.8334209441527,2232.4392322255558,2225.3088795607714,2228.099271141848,2242.143704613102,2262.256333142353,2281.910628591623,2302.117249639093,2322.5646847554644,2338.81366016845,2345.4095351922633,2343.023201919893,2333.7822162097964,2323.8403271344996,2317.6122335320397,2325.801800618788,2341.9618744273926,2363.398876050419,2376.715548265023,2384.993721498164,2389.6855701003647,2389.279398476336,2385.615063266464,2375.6015593859706,2361.784224969027,2345.2935645266994,2334.111559276239,2335.2944520688834,2346.5220030443024,2361.4755845181357,2374.541743372212
394974,7,"Philadelphia, PA",msa,PA,1197.3507610512515,1204.4227623866657,1216.9814987151656,1223.507017507793,1229.2799602046628,1232.5475240348887,1234.9105926670618,1235.2250297178969,1234.0821672035986,1232.8018970993571,1229.0786472351945,1226.431014252373,1227.294658159853,1235.2992274291128,1244.4643798490486,1254.1216151309798,1260.737112451746,1268.1255319505765,1269.1573048404625,1269.0005617216004,1265.1798488493991,1263.795411637796,1264.8774112225497,1265.9492337321658,1270.4448969324471,1277.1403008795646,1288.438450925839,1297.0692242002194,1302.7880771671057,1303.6630235826365,1304.4702937950735,1303.8965241637995,1303.3041130825195,1302.86629613902,1302.152107209229,1304.602888566684,1307.3469354859956,1315.9767727881842,1327.40342764947,1337.427005453507,1345.6460370875832,1349.1696321459701,1349.8447013300097,1348.4577771845954,1346.1609070926127,1347.8178959603974,1351.4719664656602,1353.031522776595,1357.4795608324184,1363.8410967152647,1377.188476136664,1388.82935901991,1396.2454923076716,1403.8976129028172,1407.3028309936287,1407.2548032431712,1403.2108726653003,1401.5619172802762,1401.6540058806834,1403.765399149625,1407.404819621649,1418.6790722482517,1430.9988458423995,1436.5039786605748,1437.6323307912558,1438.634983456936,1444.1389927353543,1443.7590727294337,1442.2706086900473,1440.8347110427837,1441.9931305449554,1444.9411063448683,1450.7750933687853,1459.5939504559487,1469.1602361497407,1484.874586423519,1506.4035551605248,1527.8847928155158,1545.9901899878735,1561.3299431186622,1569.3740040290352,1578.2552306592381,1586.469029432802,1602.1531749842513,1613.694362688034,1625.0927694801692,1636.352421538031,1650.5360035387678,1665.4700136397826,1679.8342069329822,1691.087061774856,1695.7272027510894,1695.389469324477,1689.6719998520211,1686.8194339181587,1684.196869839883,1688.984576781757,1692.8101377998487,1706.0030757902803,1715.902222764201,1728.5126301530959,1733.3257791247386,1740.3410744566863,1745.3405905032632,1750.091403887776,1750.8517448468651,1748.321865016679,1745.817572855297,1747.717256342672,1757.1237116074174,1768.0913775763827,1778.9523180096016,1788.370506562107,1797.2740661816865,1803.2686154182463,1807.088291628401,1808.6745802599432,1810.4782225995887,1812.1198352614392,1816.1429272893251,1820.9850521844985,1826.4331726078544,1830.5217823293565,1836.18647132418,1843.125485011771,1851.635463422388,1864.5034717499425,1870.8989990080652,1876.018111884439,1874.4744150199126,1873.0540884397901,1873.342992838498,1875.328588395487,1885.7346922673396,1892.3952680394689,1900.5700173042496
394856,8,"Miami, FL",msa,FL,1473.322548452876,1478.99386427331,1484.4819671510581,1491.1980911823855,1499.6696096345897,1508.1460929879956,1517.174454486233,1524.5478033906113,1535.5728201737154,1543.1217066326396,1552.4500240266268,1555.5357909445465,1559.209815054135,1560.4449351002502,1562.7003615138494,1564.1915157146166,1563.7469482312033,1564.2351863819058,1566.0741703894516,1568.856987591954,1573.869557165961,1576.5574701608455,1580.3250788823807,1579.061668570386,1584.0689334155256,1587.5063375712596,1595.8156641661694,1597.9143241614659,1600.370238668183,1603.1283672853358,1608.329404855693,1615.717878232087,1622.3640863399617,1627.8523362706783,1629.070883065948,1630.1935232563524,1632.0027327276125,1634.6715568455647,1638.4548292158147,1642.2992713624337,1646.4773974919788,1651.4991651894693,1656.7531629349835,1663.5158728554554,1668.5152510194675,1675.7894513337865,1681.8998319698235,1687.19200326438,1686.2754166796487,1685.0296249425662,1685.3131598392924,1688.3477301750447,1693.3438087575187,1697.5962146031343,1702.693512501921,1706.3377647697826,1712.3462645679676,1721.9569702259037,1732.6772085768737,1739.115811863314,1740.815309859398,1743.182387361866,1744.385822604731,1738.4723299565892,1729.906848142761,1728.3891041801478,1733.772068598105,1739.1544801176908,1744.55824959675,1757.0969450376078,1774.853294511126,1790.9042862567003,1806.6540899668723,1829.0114317180028,1857.161895783926,1890.8417636970335,1930.0216503402773,1979.6964702507826,2044.3322262508398,2108.457326791993,2166.0402528258783,2207.1795733624913,2251.6146720948054,2296.9958169431115,2338.3687694638675,2370.9124801035146,2406.6192263914277,2447.6844357219106,2487.663492036417,2514.6731951323013,2534.5952203508596,2541.954920618138,2550.0045517896224,2552.518695783644,2558.897616542761,2561.4030353494004,2562.540732372844,2564.110495889007,2569.897957303344,2575.357675488558,2581.4754263348727,2584.435945574662,2588.361427659161,2592.558030426389,2596.5314820271174,2603.50572369614,2605.1929806684893,2600.8726362199413,2599.354575150792,2604.7574730457386,2614.7815873852496,2622.0925657403673,2625.32763972634,2629.23862034905,2634.749390248577,2640.018750612837,2645.342612628176,2646.3578411963226,2645.5327264210123,2644.3697948639096,2645.750787623011,2649.4899599337064,2654.733664069778,2658.0786866155936,2660.147630603505,2661.381188116301,2663.3301675432376,2665.3433595574375,2665.017211630416,2663.9788272265932,2663.0356834938543,2661.1084491815573,2660.089515858718,2664.472462526571,2673.5325762620237,2682.930680825922
394347,9,"Atlanta, GA",msa,GA,993.9726743945672,998.5447709031978,1001.8663138199238,1011.6277849988812,1019.6436702791347,1030.6298564511528,1036.1829268561455,1039.1315221153482,1039.41670335787,1040.107857563379,1040.8413124112076,1044.7251903756703,1048.4053842625042,1055.2543983141738,1061.8188963460802,1069.3042742264088,1078.260254895055,1087.2900453133195,1095.6518127452812,1099.3736870167722,1099.6304592387305,1100.1758698546037,1100.6356394923564,1102.8902748274365,1106.521594209072,1114.445565931778,1125.2903207371999,1137.2376750625622,1149.4300763102387,1159.8358132716792,1168.3592851958715,1171.1279758092028,1172.923342625259,1169.742780197904,1172.0201732889311,1173.4468820391833,1180.6511812044655,1188.281269422057,1199.1755634733254,1210.3921849873366,1221.2683592133342,1230.0309485612217,1235.706918976508,1237.4688770748867,1236.9159487860686,1242.440994110709,1247.6092378977733,1253.170975395189,1257.9471725881176,1264.9440791749507,1276.9445323291352,1288.1773761694042,1299.107914421881,1307.4618005607094,1311.9855275492605,1315.6088620493972,1317.5109747358624,1315.7574172029865,1312.8111595419493,1312.6994983537352,1317.486706997355,1325.4640074671006,1334.217324559653,1338.9050386433396,1343.6069106007646,1350.9325009452207,1365.3291763755078,1378.8368716371672,1386.9195133246087,1391.9654876370244,1396.3280223689853,1403.2050769406785,1417.4972098157448,1435.5145358078316,1454.0729664996295,1474.8354431463513,1501.3925544155734,1539.0467162008072,1578.8706586233852,1619.8843112784057,1650.658432859066,1669.1327387879664,1675.1539599819052,1675.2517509594682,1677.7524785819812,1682.3257774782944,1694.1263480589216,1707.3884306856023,1727.6882651031378,1747.2903292282722,1769.3328916199575,1780.3418247482264,1781.8128333864336,1771.0059362656298,1759.4129981269127,1753.9418343482337,1751.1446365999634,1755.5645500891285,1767.453296370223,1775.9084985129225,1782.7815266912594,1782.1029136079633,1786.9377112050731,1785.6745522620938,1781.7623651184972,1769.7106670548094,1757.3074704501917,1747.7368838301386,1750.13593584745,1759.2189516125507,1765.923002481227,1771.3711502282283,1776.677522465976,1784.2483508123223,1789.1130698724735,1788.932624369613,1788.4961737601136,1782.14026434676,1775.3344098200437,1768.820715124625,1773.0926582549032,1785.2114746167608,1796.9885817274233,1803.6568459015314,1807.5412134095193,1812.3634425580385,1820.424080278949,1827.0506490753667,1831.2629277232143,1827.1406342633422,1818.9934848510882,1810.1865624843879,1810.3683126209116,1812.8306542478922,1818.8279066354419,1824.8656802585258
